I, [2018-05-08T22:46:47.833297 #10232]  INFO -- Kitchen: -----> Starting Kitchen (v1.17.0)
E, [2018-05-08T22:46:47.833613 #10232] ERROR -- Kitchen: ------Exception-------
E, [2018-05-08T22:46:47.833641 #10232] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-05-08T22:46:47.833662 #10232] ERROR -- Kitchen: Message: Kitchen YAML file /home/student/test/chef/.kitchen.yml does not exist.
E, [2018-05-08T22:46:47.833681 #10232] ERROR -- Kitchen: ----------------------
E, [2018-05-08T22:46:47.833699 #10232] ERROR -- Kitchen: ------Backtrace-------
E, [2018-05-08T22:46:47.833716 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2018-05-08T22:46:47.833735 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:147:in `data'
E, [2018-05-08T22:46:47.833753 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:126:in `suites'
E, [2018-05-08T22:46:47.833776 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:177:in `filter_instances'
E, [2018-05-08T22:46:47.833808 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:136:in `build_instances'
E, [2018-05-08T22:46:47.833826 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:112:in `instances'
E, [2018-05-08T22:46:47.833843 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-05-08T22:46:47.833864 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-05-08T22:46:47.833882 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-05-08T22:46:47.833899 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-05-08T22:46:47.833917 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/action.rb:34:in `call'
E, [2018-05-08T22:46:47.833935 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:53:in `perform'
E, [2018-05-08T22:46:47.833952 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2018-05-08T22:46:47.833970 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-05-08T22:46:47.834000 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-05-08T22:46:47.834043 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2018-05-08T22:46:47.834061 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-05-08T22:46:47.834079 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-05-08T22:46:47.834097 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-05-08T22:46:47.834117 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-05-08T22:46:47.834135 #10232] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `<top (required)>'
E, [2018-05-08T22:46:47.834153 #10232] ERROR -- Kitchen: /usr/bin/kitchen:267:in `load'
E, [2018-05-08T22:46:47.834170 #10232] ERROR -- Kitchen: /usr/bin/kitchen:267:in `<main>'
E, [2018-05-08T22:46:47.834191 #10232] ERROR -- Kitchen: ----End Backtrace-----
